waiting_path_L,waiting_path_R,waiting_path_non,MONEY,judgement,feedback_path_L,feedback_path_R,feedback_path_non,LOOP_1.thisRepN,LOOP_1.thisTrialN,LOOP_1.thisN,LOOP_1.thisIndex,LOOP_2.thisRepN,LOOP_2.thisTrialN,LOOP_2.thisN,LOOP_2.thisIndex,intro_image1.started,intro_image1.stopped,intro_key_resp1.keys,intro_key_resp1.rt,intro_key_resp1.started,intro_key_resp1.stopped,intro_image2.started,intro_image2.stopped,intro_key_resp2.keys,intro_key_resp2.rt,intro_key_resp2.started,intro_key_resp2.stopped,intro_image3.started,intro_image3.stopped,intro_key_resp3.keys,intro_key_resp3.rt,intro_key_resp3.started,intro_key_resp3.stopped,intro_image4.started,intro_image4.stopped,intro_key_resp4.keys,intro_key_resp4.rt,intro_key_resp4.started,intro_key_resp4.stopped,trigger.started,trigger.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,NULLtext.started,NULLtext.stopped,fixation.started,fixation.stopped,two_doors.started,two_doors.stopped,selet_key_resp.keys,selet_key_resp.rt,selet_key_resp.started,selet_key_resp.stopped,waiting_image_1.started,waiting_image_1.stopped,feedback_image_1.started,feedback_image_1.stopped,Money_text_1.started,Money_text_1.stopped,rest_image.started,rest_image.stopped,waiting_image_2.started,waiting_image_2.stopped,feedback_image_2.started,feedback_image_2.stopped,Money_text_2.started,Money_text_2.stopped,end_image.started,end_image.stopped,participant,性别[男1女2],年龄,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,20.873487099999693,None,1,2.003624199999649,0.0017932000000655535,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
,,,,,,,,,,,,,,,,,,,,,,22.82857309999963,None,2,0.8186006000005364,22.82857309999963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7068591999996,None,3,0.3124754999998913,23.7068591999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.091166499999417,None,4,0.5049690000005285,24.091166499999417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.65703409999969,None,s,1.8616867000000639,24.65703409999969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.606803599999694,None,30.609304899999188,None,31.664036699999997,None,1,0.4929169000006368,31.664036699999997,None,33.856760399999985,None,35.880582999999206,None,35.880582999999206,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.55647659999977,None,38.55648579999979,None,2,0.2463726999994833,38.55648579999979,None,40.79147069999999,None,42.8104330999995,None,42.8104330999995,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.55644069999926,None,45.5562476999994,None,3,0.26036409999960597,45.5562476999994,None,47.78927549999935,None,49.81021799999962,None,49.81021799999962,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.556294799999705,None,52.556321999999454,None,3,0.49476899999990565,52.556321999999454,None,54.77324580000004,None,56.79844719999983,None,56.79844719999983,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.555893699999615,None,59.55604529999982,None,4,0.5205399999995279,59.55604529999982,None,61.75759899999957,None,63.788941499999964,None,63.788941499999964,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.55553169999985,None,66.55580089999967,None,2,0.29961439999988215,66.55580089999967,None,68.76526319999994,None,70.80559109999922,None,70.80559109999922,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.55570159999934,None,73.55546429999958,None,4,0.3031681000002209,73.55546429999958,None,75.75886269999955,None,77.79665429999932,None,77.79665429999932,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.55542689999947,None,80.55545949999942,None,2,0.32312590000037744,80.55545949999942,None,82.76019799999995,None,84.7931652999996,None,84.7931652999996,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.5719565999998,None,87.55509129999973,None,4,0.330337999999756,87.55509129999973,None,89.7785103999995,None,91.81345239999973,None,91.81345239999973,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.55503549999958,None,94.55498669999997,None,3,0.6813161999998556,94.55498669999997,None,96.75775290000001,None,98.79313039999943,None,98.79313039999943,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55484660000002,None,101.5544947999997,None,2,0.4435557999995581,101.5544947999997,None,103.77117269999962,None,105.79592069999944,None,105.79592069999944,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.55487559999983,None,108.55451869999979,None,4,0.4383408000003328,108.55451869999979,None,110.79416009999932,None,112.80446099999972,None,112.80446099999972,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.55454219999956,None,115.55429989999993,None,3,0.5403600000008737,115.55429989999993,None,117.76168029999917,None,119.78744999999981,None,119.78744999999981,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.55417419999958,None,122.55393169999934,None,2,0.2923098999999638,122.55393169999934,None,124.78012399999989,None,126.77245989999938,None,126.77245989999938,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.56025799999952,None,129.55398969999987,None,2,0.40415930000017397,129.55398969999987,None,131.75780759999998,None,133.7870782,None,133.7870782,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.55372579999948,None,136.55370909999965,None,4,0.34489080000003014,136.55370909999965,None,138.77530359999946,None,140.8066749999998,None,140.8066749999998,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.55374839999968,None,143.55426149999948,None,4,0.328116399999999,143.55426149999948,None,145.77057979999972,None,147.80373979999968,None,147.80373979999968,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.58738409999933,None,156.55320549999942,None,2,0.4701141000005009,156.55320549999942,None,,,,,,,149.5644771999996,None,158.78642519999994,None,160.8530994999992,None,160.8530994999992,None,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.5535065999993,None,163.55313879999994,None,3,0.38280789999953413,163.55313879999994,None,,,,,,,,,165.8042622999992,None,167.80281449999984,None,167.80281449999984,None,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.55331489999935,None,170.55267639999965,None,1,0.3823997999998028,170.55267639999965,None,,,,,,,,,172.78599799999938,None,174.78601059999983,None,174.78601059999983,None,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.55889690000004,None,177.56276849999995,None,2,0.36372770000070886,177.56276849999995,None,,,,,,,,,179.76906619999954,None,181.77835030000006,None,181.77835030000006,None,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.5523532999996,None,184.55251169999974,None,4,0.3686999999999898,184.55251169999974,None,,,,,,,,,186.7573257999993,None,188.79052389999924,None,188.79052389999924,None,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.55228369999986,None,191.55216839999957,None,2,0.26283539999985805,191.55216839999957,None,,,,,,,,,193.81878009999946,None,195.85182839999925,None,195.85182839999925,None,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.55196069999965,None,198.55197659999976,None,4,0.41461830000025657,198.55197659999976,None,,,,,,,,,200.79679809999925,None,202.80177559999993,None,202.80177559999993,None,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.55821089999972,None,205.56198849999964,None,2,0.4101897000000463,205.56198849999964,None,,,,,,,,,207.77253199999996,None,209.7870340999998,None,209.7870340999998,None,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.55173139999988,None,212.55171769999924,None,1,0.8066144999993412,212.55171769999924,None,,,,,,,,,214.81790199999978,None,216.78479789999983,None,216.78479789999983,None,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.55135269999937,None,219.55135579999933,None,4,0.4356131999993522,219.55135579999933,None,,,,,,,,,221.75164029999996,None,223.7688795999993,None,223.7688795999993,None,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.55190270000003,None,226.5511822999997,None,2,0.5362630999998146,226.5511822999997,None,,,,,,,,,228.7745006999994,None,230.77603809999982,None,230.77603809999982,None,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.56799609999962,None,233.55287229999976,None,4,0.40504539999983535,233.55287229999976,None,,,,,,,,,235.7542973999998,None,237.7732088999992,None,237.7732088999992,None,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.55081889999929,None,240.5508173999997,None,2,0.3487649999997302,240.5508173999997,None,,,,,,,,,242.75579689999995,None,244.7680249999994,None,244.7680249999994,None,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.55071569999927,None,247.5506822999996,None,4,0.3538529000006747,247.5506822999996,None,,,,,,,,,249.78388019999966,None,251.79321299999992,None,251.79321299999992,None,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.55041719999917,None,254.5505009999997,None,2,0.36749979999967763,254.5505009999997,None,,,,,,,,,256.75123970000004,None,258.78702469999917,None,258.78702469999917,None,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.55029919999924,None,261.550287,None,4,0.4471049000003404,261.550287,None,,,,,,,,,263.75187019999976,None,265.78341179999916,None,265.78341179999916,None,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.55004370000006,None,268.55031119999967,None,2,0.395747499999743,268.55031119999967,None,,,,,,,,,270.75019579999935,None,272.7700406999993,None,272.7700406999993,None,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.6177803999999,None,,,,,,,,
